Date,Night_type,Configuration,Support_Scientist,Reduction
2026-06-04,AEON NOIRLab Queue,Goodman-RED/TSpec,K. Boutsia,Anirudh
2026-06-05,AEON UNC Queue,Goodman-RED/TSpec,B. Kaiser,Anirudh
2026-06-09,AEON NOIRLab Queue,Goodman-RED/TSpec,K. Boutsia,Kira
2026-06-13,AEON NOIRLab Queue,Goodman-RED/TSpec,M. Everett,Kira
2026-06-18,AEON NOIRLab Queue,Goodman-RED/TSpec,T. Ahumada,Jon
2026-06-19,AEON UNC Queue,Goodman-RED/TSpec,B. Kaiser,Jon
2026-06-21,AEON UNC Queue,Goodman-RED/TSpec,T. Ahumada,Jon
2026-06-23,AEON NOIRLab Queue,Goodman-RED/TSpec,M. Everett,Jim
2026-06-28,AEON NOIRLab Queue,Goodman-RED/TSpec -1st. half,T. Ahumada,Jim
2026-07-06,AEON NOIRLab Queue,Goodman-RED/TSpec,B. Kaiser,Anirudh
2026-07-10,AEON NOIRLab Queue,Goodman-RED/TSpec,B. Kaiser,Anirudh
2026-07-11,AEON UNC Queue,Goodman-RED/TSpec,M. Evertt,Anirudh
2026-07-14,AEON NOIRLab Queue,Goodman-RED/TSpec,B. Kaiser,Kira
2026-07-16,AEON NOIRLab Queue,Goodman-RED/TSpec - 1st.half,M. Everett,Kira
2026-07-20,AEON UNC Queue,Goodman-RED/TSpec,B. Kaiser,Jon
2026-07-21,AEON NOIRLab Queue,Goodman-RED/TSpec,T. Ahumada,Jon
2026-07-23,AEON UNC Queue,Goodman-RED/TSpec,B. Kaiser,Jon
2026-07-25,AEON NOIRLab Queue,Goodman-RED/TSpec,T. Ahumada,Jon
2026-07-30,AEON NOIRLab Queue,Goodman-RED/TSpec,T. Ahumada,Jim